"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221219","SK에너지","셀프","1947","1747","1997","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221220","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221221","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221222","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221223","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221224","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221225","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221226","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221227","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221228","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221229","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221230","SK에너지","셀프","1947","1747","1947","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20221231","SK에너지","셀프","1947","1747","1947","0"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220701","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220702","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220703","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220704","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220705","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220706","GS칼텍스","일반","2878","2638","2608","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220707","GS칼텍스","일반","2858","2618","2598","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220708","GS칼텍스","일반","2858","2618","2598","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220709","GS칼텍스","일반","2858","2618","2598","1850"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220710","GS칼텍스","일반","2858","2618","2598","1850"
