"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220628","SK에너지","셀프","2487","2287","2297","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220629","SK에너지","셀프","2487","2287","2297","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220630","SK에너지","셀프","2487","2287","2297","0"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220101","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220102","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220103","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220104","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220105","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220106","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220107","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220108","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220109","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220110","GS칼텍스","일반","2458","2258","2014","1559"
"A0000525","서울 강남구","(주)만정에너지 삼보주유소","서울 강남구 봉은사로 433 (삼성동)","20220111","GS칼텍스","일반","2458","2258","2014","1559"
